Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Algeria,Algeria 1.2.1,4.911592714,36.09455201,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.04034664,35.90010594,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.263520111,35.66334917,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.495277178,35.48881398,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,5.589696723,35.35591312,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.104690075,35.3419108,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.293529167,35.35591312,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.345030737,35.58660055,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.233444001,35.78181569,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.250611191,36.12229087,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.233444001,36.44058279,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.190526026,36.60613226,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.396532307,36.70253909,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.516702638,36.85379148,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.224860406,36.90185462,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,8.01027053,36.82631325,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.907267389,36.82631325,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.744179083,36.84005359,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.744179083,36.90871831,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.735595488,36.95674688,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.598257967,36.95674688,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.572507182,36.99103446,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,7.495254826,37.0115996,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
