Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Algeria,Algeria,7.803224981,25.82476251,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.456935062,25.62106256,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.599525029,25.21366265,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.21249512,24.82663274,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,7.273605105,25.17292266,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.03611928,30.5760639,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-1.806956834,30.5862489,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-1.730569352,30.78994885,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-1.82223433,30.86124383,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.306021717,30.77976385,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.097229266,30.76448636,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-1.82223433,30.9834638,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-1.959731798,30.9834638,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.168524249,30.9834638,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.316206715,30.95800131,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.428241688,30.92744632,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.524999166,30.94272381,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.799994101,30.80522635,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.942584068,30.70846887,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.769439109,30.71865387,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.63703414,30.5556939,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.402779194,30.36217895,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.46388918,30.23995898,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.606479147,30.1432015,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.647219137,30.04644402,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.560646657,30.40291894,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.845826591,30.18903399,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.039341545,30.28069897,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.003694054,30.38254894,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.988416557,30.5709714,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.176839013,30.5658789,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.187024011,30.40291894,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.258318994,30.18903399,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.141191522,30.06681402,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.095359032,29.93950155,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-2.947676567,29.81728158,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.217579004,29.66959911,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.324521479,29.81218908,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Algeria,Algeria,-3.492573939,30.07190652,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.106904677,32.81167088,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,7.986554939,33.60610069,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.679134777,33.72832066,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.862464734,34.29868053,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,8.842094738,34.70608043,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.147644667,34.62460045,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.718004534,34.62460045,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.493934586,34.99126037,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.36984438,35.03200036,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.96057424,35.43940026,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.96057424,35.23570031,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.67539431,34.82830041,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.20688442,34.52275048,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,9.962444476,33.93202061,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.32910439,33.46351072,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,11.30686416,32.95426084,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,11.38834414,32.7301909,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,11.1642742,32.85241087,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.61428432,33.21907078,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Tunisia,Tunisia,10.61428432,32.79130088,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
